FIPS Code,State and area,Year,Month,Civilian non-institutional population,Total,Percent of population,EmploymentTotal,Percent of population,UnemploymentTotal,UnemplotmentRate
9,Connecticut,2017,10,"2,904,361   ","1,913,374   ",65.9   ,"1,836,321   ",63.2   ,"77,053   ",4.0   
10,Delaware,2017,10,"766,676   ","474,106   ",61.8   ,"454,949   ",59.3   ,"19,157   ",4.0   
11,District of Columbia,2017,10,"559,445   ","390,774   ",69.9   ,"368,135   ",65.8   ,"22,639   ",5.8   
12,Florida,2017,10,"16,900,577   ","10,003,915   ",59.2   ,"9,599,723   ",56.8   ,"404,192   ",4.0   
13,Georgia,2017,10,"8,026,446   ","5,117,532   ",63.8   ,"4,893,212   ",61.0   ,"224,320   ",4.4   
15,Hawaii,2017,10,"1,122,132   ","686,252   ",61.2   ,"673,945   ",60.1   ,"12,307   ",1.8   
16,Idaho,2017,10,"1,324,038   ","847,799   ",64.0   ,"824,871   ",62.3   ,"22,928   ",2.7   
17,Illinois,2017,10,"10,142,662   ","6,562,466   ",64.7   ,"6,264,990   ",61.8   ,"297,476   ",4.5   
18,Indiana,2017,10,"5,200,170   ","3,332,939   ",64.1   ,"3,227,251   ",62.1   ,"105,688   ",3.2   
19,Iowa,2017,10,"2,468,821   ","1,696,257   ",68.7   ,"1,658,276   ",67.2   ,"37,981   ",2.2   
20,Kansas,2017,10,"2,229,668   ","1,484,799   ",66.6   ,"1,439,152   ",64.5   ,"45,647   ",3.1   
21,Kentucky,2017,10,"3,494,941   ","2,042,122   ",58.4   ,"1,958,943   ",56.1   ,"83,179   ",4.1   
22,Louisiana,2017,10,"3,586,426   ","2,106,159   ",58.7   ,"2,016,154   ",56.2   ,"90,005   ",4.3   
23,Maine,2017,10,"1,108,320   ","703,884   ",63.5   ,"683,674   ",61.7   ,"20,210   ",2.9   
24,Maryland,2017,10,"4,807,939   ","3,252,489   ",67.6   ,"3,127,646   ",65.1   ,"124,843   ",3.8   
25,Massachusetts,2017,10,"5,668,358   ","3,715,640   ",65.6   ,"3,592,055   ",63.4   ,"123,585   ",3.3   
26,Michigan,2017,10,"8,011,499   ","4,916,592   ",61.4   ,"4,715,435   ",58.9   ,"201,157   ",4.1   
27,Minnesota,2017,10,"4,392,329   ","3,064,736   ",69.8   ,"2,986,828   ",68.0   ,"77,908   ",2.5   
28,Mississippi,2017,10,"2,284,539   ","1,260,032   ",55.2   ,"1,204,303   ",52.7   ,"55,729   ",4.4   
29,Missouri,2017,10,"4,781,183   ","3,037,694   ",63.5   ,"2,952,585   ",61.8   ,"85,109   ",2.8   
30,Montana,2017,10,"839,686   ","527,062   ",62.8   ,"508,218   ",60.5   ,"18,844   ",3.6   
31,Nebraska,2017,10,"1,477,329   ","1,023,020   ",69.2   ,"997,003   ",67.5   ,"26,017   ",2.5   
32,Nevada,2017,10,"2,322,703   ","1,457,739   ",62.8   ,"1,390,236   ",59.9   ,"67,503   ",4.6   
33,New Hampshire,2017,10,"1,115,411   ","754,450   ",67.6   ,"736,423   ",66.0   ,"18,027   ",2.4   
34,New Jersey,2017,10,"7,284,667   ","4,595,209   ",63.1   ,"4,402,456   ",60.4   ,"192,753   ",4.2   
35,New Mexico,2017,10,"1,629,424   ","944,525   ",58.0   ,"894,621   ",54.9   ,"49,904   ",5.3   
36,New York,2017,10,"16,192,496   ","9,830,874   ",60.7   ,"9,399,438   ",58.0   ,"431,436   ",4.4   
51000,New York city,2017,10,"7,095,538   ","4,300,745   ",60.6   ,"4,113,556   ",58.0   ,"187,189   ",4.4   
37,North Carolina,2017,10,"7,963,770   ","4,907,630   ",61.6   ,"4,701,684   ",59.0   ,"205,946   ",4.2   
38,North Dakota,2017,10,"588,376   ","413,275   ",70.2   ,"406,402   ",69.1   ,"6,873   ",1.7   
39,Ohio,2017,10,"9,248,626   ","5,831,556   ",63.1   ,"5,582,982   ",60.4   ,"248,574   ",4.3   
40,Oklahoma,2017,10,"2,990,142   ","1,833,180   ",61.3   ,"1,764,930   ",59.0   ,"68,250   ",3.7   
41,Oregon,2017,10,"3,341,246   ","2,088,823   ",62.5   ,"2,008,338   ",60.1   ,"80,485   ",3.9   
42,Pennsylvania,2017,10,"10,368,714   ","6,469,994   ",62.4   ,"6,184,363   ",59.6   ,"285,631   ",4.4   
44,Rhode Island,2017,10,"883,852   ","568,575   ",64.3   ,"546,051   ",61.8   ,"22,524   ",4.0   
45,South Carolina,2017,10,"3,912,852   ","2,257,334   ",57.7   ,"2,167,301   ",55.4   ,"90,033   ",4.0   
46,South Dakota,2017,10,"660,273   ","455,678   ",69.0   ,"444,138   ",67.3   ,"11,540   ",2.5   
47,Tennessee,2017,10,"5,303,191   ","3,212,065   ",60.6   ,"3,107,164   ",58.6   ,"104,901   ",3.3   
48,Texas,2017,10,"21,229,568   ","13,476,054   ",63.5   ,"12,968,331   ",61.1   ,"507,723   ",3.8   
49,Utah,2017,10,"2,276,278   ","1,562,807   ",68.7   ,"1,519,715   ",66.8   ,"43,092   ",2.8   
50,Vermont,2017,10,"528,691   ","354,419   ",67.0   ,"346,738   ",65.6   ,"7,681   ",2.2   
51,Virginia,2017,10,"6,641,419   ","4,354,060   ",65.6   ,"4,212,127   ",63.4   ,"141,933   ",3.3   
53,Washington,2017,10,"5,882,247   ","3,752,445   ",63.8   ,"3,592,906   ",61.1   ,"159,539   ",4.3   
54,West Virginia,2017,10,"1,465,020   ","789,431   ",53.9   ,"754,303   ",51.5   ,"35,128   ",4.4   
55,Wisconsin,2017,10,"4,626,192   ","3,144,067   ",68.0   ,"3,057,956   ",66.1   ,"86,111   ",2.7   
56,Wyoming,2017,10,"445,434   ","292,949   ",65.8   ,"281,769   ",63.3   ,"11,180   ",3.8   
1,Alabama,2017,11,"3,898,609   ","2,206,386   ",56.6   ,"2,124,793   ",54.5   ,"81,593   ",3.7   
2,Alaska,2017,11,"546,391   ","355,999   ",65.2   ,"333,296   ",61.0   ,"22,703   ",6.4   
4,Arizona,2017,11,"5,376,694   ","3,269,480   ",60.8   ,"3,119,325   ",58.0   ,"150,155   ",4.6   
5,Arkansas,2017,11,"2,316,513   ","1,342,815   ",58.0   ,"1,298,618   ",56.1   ,"44,197   ",3.3   
6,California,2017,11,"30,878,001   ","19,223,905   ",62.3   ,"18,400,670   ",59.6   ,"823,235   ",4.3   
37,Los Angeles County,2017,11,"8,082,602   ","5,133,365   ",63.5   ,"4,906,231   ",60.7   ,"227,134   ",4.4   
8,Colorado,2017,11,"4,405,640   ","3,001,765   ",68.1   ,"2,920,715   ",66.3   ,"81,050   ",2.7   
9,Connecticut,2017,11,"2,905,228   ","1,916,133   ",66.0   ,"1,844,622   ",63.5   ,"71,511   ",3.7   
10,Delaware,2017,11,"767,440   ","475,721   ",62.0   ,"457,592   ",59.6   ,"18,129   ",3.8   
11,District of Columbia,2017,11,"559,769   ","393,296   ",70.3   ,"371,758   ",66.4   ,"21,538   ",5.5   
12,Florida,2017,11,"16,921,074   ","9,978,357   ",59.0   ,"9,576,195   ",56.6   ,"402,162   ",4.0   
13,Georgia,2017,11,"8,035,057   ","5,116,087   ",63.7   ,"4,900,773   ",61.0   ,"215,314   ",4.2   
15,Hawaii,2017,11,"1,122,518   ","690,810   ",61.5   ,"677,551   ",60.4   ,"13,259   ",1.9   
16,Idaho,2017,11,"1,326,684   ","848,749   ",64.0   ,"823,103   ",62.0   ,"25,646   ",3.0   
17,Illinois,2017,11,"10,142,180   ","6,575,903   ",64.8   ,"6,283,165   ",62.0   ,"292,738   ",4.5   
18,Indiana,2017,11,"5,203,228   ","3,338,191   ",64.2   ,"3,228,512   ",62.0   ,"109,679   ",3.3   
19,Iowa,2017,11,"2,469,579   ","1,690,715   ",68.5   ,"1,650,308   ",66.8   ,"40,407   ",2.4   
20,Kansas,2017,11,"2,230,299   ","1,485,399   ",66.6   ,"1,439,679   ",64.6   ,"45,720   ",3.1   
21,Kentucky,2017,11,"3,495,919   ","2,047,977   ",58.6   ,"1,970,165   ",56.4   ,"77,812   ",3.8   
22,Louisiana,2017,11,"3,586,410   ","2,109,365   ",58.8   ,"2,016,729   ",56.2   ,"92,636   ",4.4   
23,Maine,2017,11,"1,108,855   ","699,307   ",63.1   ,"676,721   ",61.0   ,"22,586   ",3.2   
24,Maryland,2017,11,"4,810,044   ","3,243,203   ",67.4   ,"3,118,970   ",64.8   ,"124,233   ",3.8   
25,Massachusetts,2017,11,"5,671,696   ","3,731,802   ",65.8   ,"3,608,492   ",63.6   ,"123,310   ",3.3   
26,Michigan,2017,11,"8,014,121   ","4,916,950   ",61.4   ,"4,720,017   ",58.9   ,"196,933   ",4.0   
27,Minnesota,2017,11,"4,395,551   ","3,068,174   ",69.8   ,"2,981,122   ",67.8   ,"87,052   ",2.8   
28,Mississippi,2017,11,"2,284,050   ","1,265,266   ",55.4   ,"1,207,289   ",52.9   ,"57,977   ",4.6   
29,Missouri,2017,11,"4,782,519   ","3,030,559   ",63.4   ,"2,936,678   ",61.4   ,"93,881   ",3.1   
30,Montana,2017,11,"840,413   ","526,891   ",62.7   ,"505,805   ",60.2   ,"21,086   ",4.0   
31,Nebraska,2017,11,"1,478,199   ","1,023,673   ",69.3   ,"996,973   ",67.4   ,"26,700   ",2.6   
32,Nevada,2017,11,"2,326,949   ","1,461,414   ",62.8   ,"1,393,960   ",59.9   ,"67,454   ",4.6   
33,New Hampshire,2017,11,"1,116,051   ","756,088   ",67.7   ,"737,015   ",66.0   ,"19,073   ",2.5   
34,New Jersey,2017,11,"7,288,261   ","4,590,164   ",63.0   ,"4,395,201   ",60.3   ,"194,963   ",4.2   
35,New Mexico,2017,11,"1,630,127   ","949,329   ",58.2   ,"898,596   ",55.1   ,"50,733   ",5.3   
36,New York,2017,11,"16,196,580   ","9,785,432   ",60.4   ,"9,360,323   ",57.8   ,"425,109   ",4.3   
51000,New York city,2017,11,"7,096,640   ","4,275,451   ",60.2   ,"4,101,028   ",57.8   ,"174,423   ",4.1   
37,North Carolina,2017,11,"7,972,317   ","4,879,834   ",61.2   ,"4,669,282   ",58.6   ,"210,552   ",4.3   
38,North Dakota,2017,11,"588,579   ","409,169   ",69.5   ,"400,148   ",68.0   ,"9,021   ",2.2   
39,Ohio,2017,11,"9,251,294   ","5,816,157   ",62.9   ,"5,570,542   ",60.2   ,"245,615   ",4.2   
40,Oklahoma,2017,11,"2,991,063   ","1,835,621   ",61.4   ,"1,768,342   ",59.1   ,"67,279   ",3.7   
41,Oregon,2017,11,"3,344,419   ","2,081,810   ",62.2   ,"2,003,475   ",59.9   ,"78,335   ",3.8   
42,Pennsylvania,2017,11,"10,371,747   ","6,456,163   ",62.2   ,"6,167,404   ",59.5   ,"288,759   ",4.5   
44,Rhode Island,2017,11,"884,372   ","572,012   ",64.7   ,"546,498   ",61.8   ,"25,514   ",4.5   
45,South Carolina,2017,11,"3,917,213   ","2,243,441   ",57.3   ,"2,153,168   ",55.0   ,"90,273   ",4.0   
46,South Dakota,2017,11,"660,667   ","454,302   ",68.8   ,"441,556   ",66.8   ,"12,746   ",2.8   
47,Tennessee,2017,11,"5,308,162   ","3,214,736   ",60.6   ,"3,110,558   ",58.6   ,"104,178   ",3.2   
48,Texas,2017,11,"21,255,382   ","13,551,520   ",63.8   ,"13,019,410   ",61.3   ,"532,110   ",3.9   
49,Utah,2017,11,"2,280,646   ","1,570,514   ",68.9   ,"1,526,572   ",66.9   ,"43,942   ",2.8   
50,Vermont,2017,11,"528,877   ","355,441   ",67.2   ,"345,702   ",65.4   ,"9,739   ",2.7   
51,Virginia,2017,11,"6,645,032   ","4,335,889   ",65.3   ,"4,196,767   ",63.2   ,"139,122   ",3.2   
53,Washington,2017,11,"5,889,935   ","3,751,226   ",63.7   ,"3,584,377   ",60.9   ,"166,849   ",4.4   
54,West Virginia,2017,11,"1,464,332   ","784,078   ",53.5   ,"745,411   ",50.9   ,"38,667   ",4.9   
55,Wisconsin,2017,11,"4,628,430   ","3,140,129   ",67.8   ,"3,054,372   ",66.0   ,"85,757   ",2.7   
56,Wyoming,2017,11,"445,489   ","292,672   ",65.7   ,"280,314   ",62.9   ,"12,358   ",4.2   
1,Alabama,2017,12,"3,900,414   ","2,204,809   ",56.5   ,"2,123,521   ",54.4   ,"81,288   ",3.7   
2,Alaska,2017,12,"546,318   ","353,327   ",64.7   ,"329,850   ",60.4   ,"23,477   ",6.6   
4,Arizona,2017,12,"5,384,434   ","3,258,510   ",60.5   ,"3,107,127   ",57.7   ,"151,383   ",4.6   
5,Arkansas,2017,12,"2,317,188   ","1,336,243   ",57.7   ,"1,288,142   ",55.6   ,"48,101   ",3.6   
6,California,2017,12,"30,891,323   ","19,113,056   ",61.9   ,"18,289,985   ",59.2   ,"823,071   ",4.3   
37,Los Angeles County,2017,12,"8,082,807   ","5,089,316   ",63.0   ,"4,866,704   ",60.2   ,"222,612   ",4.4   
8,Colorado,2017,12,"4,411,950   ","2,996,791   ",67.9   ,"2,915,879   ",66.1   ,"80,912   ",2.7   
9,Connecticut,2017,12,"2,906,004   ","1,900,963   ",65.4   ,"1,830,971   ",63.0   ,"69,992   ",3.7   
10,Delaware,2017,12,"768,214   ","476,026   ",62.0   ,"457,831   ",59.6   ,"18,195   ",3.8   
11,District of Columbia,2017,12,"560,021   ","391,967   ",70.0   ,"370,185   ",66.1   ,"21,782   ",5.6   
12,Florida,2017,12,"16,940,944   ","9,979,454   ",58.9   ,"9,598,907   ",56.7   ,"380,547   ",3.8   
13,Georgia,2017,12,"8,043,359   ","5,112,785   ",63.6   ,"4,896,039   ",60.9   ,"216,746   ",4.2   
15,Hawaii,2017,12,"1,122,876   ","689,172   ",61.4   ,"677,546   ",60.3   ,"11,626   ",1.7   
16,Idaho,2017,12,"1,329,268   ","846,992   ",63.7   ,"820,917   ",61.8   ,"26,075   ",3.1   
17,Illinois,2017,12,"10,141,419   ","6,535,662   ",64.4   ,"6,240,608   ",61.5   ,"295,054   ",4.5   
18,Indiana,2017,12,"5,206,146   ","3,320,100   ",63.8   ,"3,220,469   ",61.9   ,"99,631   ",3.0   
19,Iowa,2017,12,"2,470,242   ","1,686,537   ",68.3   ,"1,638,877   ",66.3   ,"47,660   ",2.8   
20,Kansas,2017,12,"2,230,811   ","1,476,008   ",66.2   ,"1,430,902   ",64.1   ,"45,106   ",3.1   
21,Kentucky,2017,12,"3,496,801   ","2,044,397   ",58.5   ,"1,964,790   ",56.2   ,"79,607   ",3.9   
22,Louisiana,2017,12,"3,586,273   ","2,095,937   ",58.4   ,"2,009,053   ",56.0   ,"86,884   ",4.1   
23,Maine,2017,12,"1,109,347   ","694,795   ",62.6   ,"674,596   ",60.8   ,"20,199   ",2.9   
24,Maryland,2017,12,"4,812,024   ","3,227,676   ",67.1   ,"3,109,224   ",64.6   ,"118,452   ",3.7   
25,Massachusetts,2017,12,"5,674,910   ","3,734,405   ",65.8   ,"3,608,068   ",63.6   ,"126,337   ",3.4   
26,Michigan,2017,12,"8,016,570   ","4,901,241   ",61.1   ,"4,684,499   ",58.4   ,"216,742   ",4.4   
27,Minnesota,2017,12,"4,398,667   ","3,064,857   ",69.7   ,"2,960,794   ",67.3   ,"104,063   ",3.4   
28,Mississippi,2017,12,"2,283,572   ","1,263,321   ",55.3   ,"1,206,691   ",52.8   ,"56,630   ",4.5   
29,Missouri,2017,12,"4,783,725   ","3,022,821   ",63.2   ,"2,925,102   ",61.1   ,"97,719   ",3.2   
30,Montana,2017,12,"841,126   ","523,376   ",62.2   ,"501,522   ",59.6   ,"21,854   ",4.2   
31,Nebraska,2017,12,"1,479,006   ","1,018,437   ",68.9   ,"989,663   ",66.9   ,"28,774   ",2.8   
32,Nevada,2017,12,"2,331,090   ","1,457,082   ",62.5   ,"1,389,490   ",59.6   ,"67,592   ",4.6   
33,New Hampshire,2017,12,"1,116,680   ","754,404   ",67.6   ,"735,868   ",65.9   ,"18,536   ",2.5   
34,New Jersey,2017,12,"7,291,643   ","4,586,134   ",62.9   ,"4,400,425   ",60.3   ,"185,709   ",4.0   
35,New Mexico,2017,12,"1,630,743   ","949,380   ",58.2   ,"900,857   ",55.2   ,"48,523   ",5.1   
36,New York,2017,12,"16,200,124   ","9,754,210   ",60.2   ,"9,330,294   ",57.6   ,"423,916   ",4.3   
51000,New York city,2017,12,"7,098,000   ","4,258,690   ",60.0   ,"4,086,986   ",57.6   ,"171,704   ",4.0   
37,North Carolina,2017,12,"7,980,579   ","4,845,563   ",60.7   ,"4,647,652   ",58.2   ,"197,911   ",4.1   
38,North Dakota,2017,12,"588,758   ","407,245   ",69.2   ,"396,500   ",67.3   ,"10,745   ",2.6   
39,Ohio,2017,12,"9,253,686   ","5,763,020   ",62.3   ,"5,507,401   ",59.5   ,"255,619   ",4.4   
40,Oklahoma,2017,12,"2,991,869   ","1,824,466   ",61.0   ,"1,758,284   ",58.8   ,"66,182   ",3.6   
41,Oregon,2017,12,"3,347,470   ","2,064,040   ",61.7   ,"1,985,656   ",59.3   ,"78,384   ",3.8   
42,Pennsylvania,2017,12,"10,374,421   ","6,413,526   ",61.8   ,"6,128,562   ",59.1   ,"284,964   ",4.4   
44,Rhode Island,2017,12,"884,825   ","569,753   ",64.4   ,"545,630   ",61.7   ,"24,123   ",4.2   
45,South Carolina,2017,12,"3,921,470   ","2,239,748   ",57.1   ,"2,146,721   ",54.7   ,"93,027   ",4.2   
46,South Dakota,2017,12,"660,995   ","451,448   ",68.3   ,"436,944   ",66.1   ,"14,504   ",3.2   
47,Tennessee,2017,12,"5,312,956   ","3,215,604   ",60.5   ,"3,111,556   ",58.6   ,"104,048   ",3.2   
48,Texas,2017,12,"21,280,466   ","13,531,647   ",63.6   ,"13,012,095   ",61.1   ,"519,552   ",3.8   
49,Utah,2017,12,"2,284,909   ","1,561,170   ",68.3   ,"1,517,655   ",66.4   ,"43,515   ",2.8   
50,Vermont,2017,12,"529,048   ","353,254   ",66.8   ,"343,702   ",65.0   ,"9,552   ",2.7   
51,Virginia,2017,12,"6,648,412   ","4,329,057   ",65.1   ,"4,195,837   ",63.1   ,"133,220   ",3.1   
53,Washington,2017,12,"5,897,378   ","3,742,987   ",63.5   ,"3,564,787   ",60.4   ,"178,200   ",4.8   
54,West Virginia,2017,12,"1,463,610   ","780,353   ",53.3   ,"739,906   ",50.6   ,"40,447   ",5.2   
55,Wisconsin,2017,12,"4,630,515   ","3,114,819   ",67.3   ,"3,031,988   ",65.5   ,"82,831   ",2.7   
56,Wyoming,2017,12,"445,517   ","289,720   ",65.0   ,"277,611   ",62.3   ,"12,109   ",4.2   
1,Alabama,2018,1,"3,901,863   ","2,202,287   ",56.4   ,"2,104,088   ",53.9   ,"98,199   ",4.5   
2,Alaska,2018,1,"546,187   ","352,508   ",64.5   ,"327,355   ",59.9   ,"25,153   ",7.1   
4,Arizona,2018,1,"5,391,663   ","3,269,032   ",60.6   ,"3,105,258   ",57.6   ,"163,774   ",5.0   
5,Arkansas,2018,1,"2,317,633   ","1,325,403   ",57.2   ,"1,267,612   ",54.7   ,"57,791   ",4.4   
6,California,2018,1,"30,902,260   ","19,134,942   ",61.9   ,"18,219,256   ",59.0   ,"915,686   ",4.8   
37,Los Angeles County,2018,1,"8,083,294   ","5,103,813   ",63.1   ,"4,853,647   ",60.0   ,"250,166   ",4.9   
8,Colorado,2018,1,"4,417,840   ","2,986,379   ",67.6   ,"2,894,361   ",65.5   ,"92,018   ",3.1   
9,Connecticut,2018,1,"2,906,619   ","1,902,786   ",65.5   ,"1,810,376   ",62.3   ,"92,410   ",4.9   
10,Delaware,2018,1,"768,869   ","477,453   ",62.1   ,"455,352   ",59.2   ,"22,101   ",4.6   
11,District of Columbia,2018,1,"560,286   ","394,334   ",70.4   ,"369,859   ",66.0   ,"24,475   ",6.2   
12,Florida,2018,1,"16,959,248   ","9,992,812   ",58.9   ,"9,575,577   ",56.5   ,"417,235   ",4.2   
13,Georgia,2018,1,"8,050,980   ","5,116,238   ",63.5   ,"4,883,622   ",60.7   ,"232,616   ",4.5   
15,Hawaii,2018,1,"1,123,142   ","693,664   ",61.8   ,"678,503   ",60.4   ,"15,161   ",2.2   
16,Idaho,2018,1,"1,331,725   ","845,987   ",63.5   ,"812,477   ",61.0   ,"33,510   ",4.0   
17,Illinois,2018,1,"10,139,676   ","6,501,363   ",64.1   ,"6,162,092   ",60.8   ,"339,271   ",5.2   
18,Indiana,2018,1,"5,208,438   ","3,314,656   ",63.6   ,"3,191,712   ",61.3   ,"122,944   ",3.7   
19,Iowa,2018,1,"2,470,616   ","1,685,344   ",68.2   ,"1,624,617   ",65.8   ,"60,727   ",3.6   
20,Kansas,2018,1,"2,231,071   ","1,472,386   ",66.0   ,"1,419,130   ",63.6   ,"53,256   ",3.6   
21,Kentucky,2018,1,"3,497,264   ","2,030,436   ",58.1   ,"1,935,489   ",55.3   ,"94,947   ",4.7   
22,Louisiana,2018,1,"3,585,779   ","2,084,759   ",58.1   ,"1,983,930   ",55.3   ,"100,829   ",4.8   
23,Maine,2018,1,"1,109,692   ","689,814   ",62.2   ,"664,646   ",59.9   ,"25,168   ",3.6   
24,Maryland,2018,1,"4,813,568   ","3,226,134   ",67.0   ,"3,087,592   ",64.1   ,"138,542   ",4.3   
25,Massachusetts,2018,1,"5,677,489   ","3,743,825   ",65.9   ,"3,584,697   ",63.1   ,"159,128   ",4.3   
26,Michigan,2018,1,"8,018,123   ","4,878,510   ",60.8   ,"4,629,008   ",57.7   ,"249,502   ",5.1   
27,Minnesota,2018,1,"4,401,283   ","3,056,786   ",69.5   ,"2,936,477   ",66.7   ,"120,309   ",3.9   
28,Mississippi,2018,1,"2,282,774   ","1,251,519   ",54.8   ,"1,191,887   ",52.2   ,"59,632   ",4.8   
29,Missouri,2018,1,"4,784,418   ","3,013,967   ",63.0   ,"2,895,686   ",60.5   ,"118,281   ",3.9   
30,Montana,2018,1,"841,718   ","524,183   ",62.3   ,"497,877   ",59.2   ,"26,306   ",5.0   
31,Nebraska,2018,1,"1,479,661   ","1,016,293   ",68.7   ,"983,163   ",66.4   ,"33,130   ",3.3   
32,Nevada,2018,1,"2,335,050   ","1,460,798   ",62.6   ,"1,387,611   ",59.4   ,"73,187   ",5.0   
33,New Hampshire,2018,1,"1,117,207   ","759,320   ",68.0   ,"734,326   ",65.7   ,"24,994   ",3.3   
34,New Jersey,2018,1,"7,294,387   ","4,567,891   ",62.6   ,"4,345,901   ",59.6   ,"221,990   ",4.9   
35,New Mexico,2018,1,"1,631,201   ","939,881   ",57.6   ,"888,777   ",54.5   ,"51,104   ",5.4   
36,New York,2018,1,"16,202,309   ","9,787,213   ",60.4   ,"9,305,089   ",57.4   ,"482,124   ",4.9   
51000,New York city,2018,1,"7,099,644   ","4,283,138   ",60.3   ,"4,085,001   ",57.5   ,"198,137   ",4.6   
37,North Carolina,2018,1,"7,988,051   ","4,829,475   ",60.5   ,"4,617,326   ",57.8   ,"212,149   ",4.4   
38,North Dakota,2018,1,"588,893   ","407,827   ",69.3   ,"394,308   ",67.0   ,"13,519   ",3.3   
39,Ohio,2018,1,"9,255,046   ","5,709,461   ",61.7   ,"5,409,257   ",58.4   ,"300,204   ",5.3   
40,Oklahoma,2018,1,"2,992,340   ","1,826,257   ",61.0   ,"1,753,711   ",58.6   ,"72,546   ",4.0   
41,Oregon,2018,1,"3,350,118   ","2,058,954   ",61.5   ,"1,968,667   ",58.8   ,"90,287   ",4.4   
42,Pennsylvania,2018,1,"10,375,938   ","6,425,424   ",61.9   ,"6,088,966   ",58.7   ,"336,458   ",5.2   
44,Rhode Island,2018,1,"885,256   ","566,443   ",64.0   ,"536,890   ",60.6   ,"29,553   ",5.2   
45,South Carolina,2018,1,"3,925,277   ","2,249,111   ",57.3   ,"2,146,285   ",54.7   ,"102,826   ",4.6   
46,South Dakota,2018,1,"661,242   ","447,726   ",67.7   ,"432,742   ",65.4   ,"14,984   ",3.3   
47,Tennessee,2018,1,"5,317,145   ","3,196,574   ",60.1   ,"3,074,088   ",57.8   ,"122,486   ",3.8   
48,Texas,2018,1,"21,303,717   ","13,518,948   ",63.5   ,"12,937,395   ",60.7   ,"581,553   ",4.3   
49,Utah,2018,1,"2,288,887   ","1,562,099   ",68.2   ,"1,510,915   ",66.0   ,"51,184   ",3.3   
50,Vermont,2018,1,"529,182   ","353,914   ",66.9   ,"341,699   ",64.6   ,"12,215   ",3.5   
51,Virginia,2018,1,"6,651,184   ","4,328,633   ",65.1   ,"4,174,196   ",62.8   ,"154,437   ",3.6   
53,Washington,2018,1,"5,904,206   ","3,746,066   ",63.4   ,"3,552,685   ",60.2   ,"193,381   ",5.2   
54,West Virginia,2018,1,"1,462,679   ","779,249   ",53.3   ,"731,523   ",50.0   ,"47,726   ",6.1   
55,Wisconsin,2018,1,"4,632,053   ","3,098,658   ",66.9   ,"3,002,302   ",64.8   ,"96,356   ",3.1   
56,Wyoming,2018,1,"445,405   ","289,440   ",65.0   ,"275,065   ",61.8   ,"14,375   ",5.0   
1,Alabama,2018,2,"3,902,971   ","2,220,681   ",56.9   ,"2,125,221   ",54.5   ,"95,460   ",4.3   
2,Alaska,2018,2,"546,024   ","354,939   ",65.0   ,"329,852   ",60.4   ,"25,087   ",7.1   
4,Arizona,2018,2,"5,398,448   ","3,292,547   ",61.0   ,"3,135,794   ",58.1   ,"156,753   ",4.8   
5,Arkansas,2018,2,"2,317,886   ","1,348,000   ",58.2   ,"1,289,716   ",55.6   ,"58,284   ",4.3   
6,California,2018,2,"30,911,398   ","19,316,507   ",62.5   ,"18,417,117   ",59.6   ,"899,390   ",4.7   
37,Los Angeles County,2018,2,"8,083,073   ","5,149,102   ",63.7   ,"4,906,491   ",60.7   ,"242,611   ",4.7   
8,Colorado,2018,2,"4,423,544   ","3,029,094   ",68.5   ,"2,930,363   ",66.2   ,"98,731   ",3.3   
9,Connecticut,2018,2,"2,906,969   ","1,908,394   ",65.6   ,"1,818,478   ",62.6   ,"89,916   ",4.7   
10,Delaware,2018,2,"769,467   ","479,397   ",62.3   ,"458,124   ",59.5   ,"21,273   ",4.4   
11,District of Columbia,2018,2,"560,504   ","399,739   ",71.3   ,"375,066   ",66.9   ,"24,673   ",6.2   
12,Florida,2018,2,"16,975,589   ","10,060,183   ",59.3   ,"9,671,944   ",57.0   ,"388,239   ",3.9   
13,Georgia,2018,2,"8,058,161   ","5,148,690   ",63.9   ,"4,921,752   ",61.1   ,"226,938   ",4.4   
15,Hawaii,2018,2,"1,123,367   ","696,184   ",62.0   ,"681,510   ",60.7   ,"14,674   ",2.1   
16,Idaho,2018,2,"1,334,049   ","851,828   ",63.9   ,"821,889   ",61.6   ,"29,939   ",3.5   
17,Illinois,2018,2,"10,137,235   ","6,562,465   ",64.7   ,"6,234,777   ",61.5   ,"327,688   ",5.0   
18,Indiana,2018,2,"5,210,372   ","3,350,492   ",64.3   ,"3,223,664   ",61.9   ,"126,828   ",3.8   
19,Iowa,2018,2,"2,470,776   ","1,707,031   ",69.1   ,"1,651,796   ",66.9   ,"55,235   ",3.2   
20,Kansas,2018,2,"2,231,214   ","1,487,270   ",66.7   ,"1,432,910   ",64.2   ,"54,360   ",3.7   
21,Kentucky,2018,2,"3,497,517   ","2,045,463   ",58.5   ,"1,946,779   ",55.7   ,"98,684   ",4.8   
22,Louisiana,2018,2,"3,585,044   ","2,098,139   ",58.5   ,"2,004,570   ",55.9   ,"93,569   ",4.5   
23,Maine,2018,2,"1,109,956   ","693,681   ",62.5   ,"668,733   ",60.2   ,"24,948   ",3.6   
24,Maryland,2018,2,"4,814,802   ","3,245,259   ",67.4   ,"3,110,687   ",64.6   ,"134,572   ",4.1   
25,Massachusetts,2018,2,"5,679,819   ","3,777,086   ",66.5   ,"3,620,258   ",63.7   ,"156,828   ",4.2   
